IDMunicipio,IDProvincia,IDCCAA,Municipio,Provincia,CCAA
3978,25,09,Sant Llorenç de Morunys,LLEIDA,Cataluña
3979,25,09,Sant Martí de Riucorb,LLEIDA,Cataluña
3980,25,09,Sant Ramon,LLEIDA,Cataluña
3981,25,09,Sarroca de Bellera,LLEIDA,Cataluña
3982,25,09,Sarroca de Lleida,LLEIDA,Cataluña
3983,25,09,Senterada,LLEIDA,Cataluña
3984,25,09,Sentiu de Sió (La),LLEIDA,Cataluña
3985,25,09,Seròs,LLEIDA,Cataluña
3986,25,09,Seu d'Urgell (La),LLEIDA,Cataluña
3987,25,09,Sidamon,LLEIDA,Cataluña
3988,25,09,Soleràs (El),LLEIDA,Cataluña
3989,25,09,Solsona,LLEIDA,Cataluña
3990,25,09,Soriguera,LLEIDA,Cataluña
3991,25,09,Sort,LLEIDA,Cataluña
3992,25,09,Soses,LLEIDA,Cataluña
3993,25,09,Sudanell,LLEIDA,Cataluña
3994,25,09,Sunyer,LLEIDA,Cataluña
3995,25,09,Talarn,LLEIDA,Cataluña
3996,25,09,Talavera,LLEIDA,Cataluña
3997,25,09,Tàrrega,LLEIDA,Cataluña
3998,25,09,Tarrés,LLEIDA,Cataluña
3999,25,09,Tarroja de Segarra,LLEIDA,Cataluña
4000,25,09,Térmens,LLEIDA,Cataluña
4001,25,09,Tírvia,LLEIDA,Cataluña
4002,25,09,Tiurana,LLEIDA,Cataluña
4003,25,09,Torà,LLEIDA,Cataluña
4004,25,09,Torms (Els),LLEIDA,Cataluña
4005,25,09,Tornabous,LLEIDA,Cataluña
4006,25,09,Torre de Cabdella (La),LLEIDA,Cataluña
4007,25,09,Torrebesses,LLEIDA,Cataluña
4008,25,09,Torrefarrera,LLEIDA,Cataluña
4009,25,09,Torrefeta i Florejacs,LLEIDA,Cataluña
4010,25,09,Torregrossa,LLEIDA,Cataluña
4011,25,09,Torrelameu,LLEIDA,Cataluña
4012,25,09,Torres de Segre,LLEIDA,Cataluña
4013,25,09,Torre-serona,LLEIDA,Cataluña
4014,25,09,Tremp,LLEIDA,Cataluña
4015,25,09,Vall de Boí (La),LLEIDA,Cataluña
4016,25,09,Vall de Cardós,LLEIDA,Cataluña
4017,25,09,Vallbona de les Monges,LLEIDA,Cataluña
4018,25,09,Vallfogona de Balaguer,LLEIDA,Cataluña
4019,25,09,Valls d'Aguilar (Les),LLEIDA,Cataluña
4020,25,09,Valls de Valira (Les),LLEIDA,Cataluña
4021,25,09,Vansa i Fórnols (La),LLEIDA,Cataluña
4022,25,09,Verdú,LLEIDA,Cataluña
4023,25,09,Vielha e Mijaran,LLEIDA,Cataluña
4024,25,09,Vilagrassa,LLEIDA,Cataluña
4025,25,09,Vilaller,LLEIDA,Cataluña
4026,25,09,Vilamòs,LLEIDA,Cataluña
4027,25,09,Vilanova de Bellpuig,LLEIDA,Cataluña
4028,25,09,Vilanova de la Barca,LLEIDA,Cataluña
4029,25,09,Vilanova de l'Aguda,LLEIDA,Cataluña
4030,25,09,Vilanova de Meià,LLEIDA,Cataluña
4031,25,09,Vilanova de Segrià,LLEIDA,Cataluña
4032,25,09,Vila-sana,LLEIDA,Cataluña
4033,25,09,Vilosell (El),LLEIDA,Cataluña
4034,25,09,Vinaixa,LLEIDA,Cataluña
